"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TMAX","TMIN","TOBS"
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","41.784019","-88.016753","229.5","2021-09-26",,,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","41.784019","-88.016753","229.5","2021-09-27",,,,
"US1ILCK0306","OAK FOREST 0.6 N, IL US","41.6155","-87.7507","199.3","2021-09-26",,,,
"US1ILCK0306","OAK FOREST 0.6 N, IL US","41.6155","-87.7507","199.3","2021-09-27",,,,
"US1ILCK0148","OAK LAWN 1.9 SE, IL US","41.693577","-87.728993","182.3","2021-09-26",,,,
"US1ILCK0148","OAK LAWN 1.9 SE, IL US","41.693577","-87.728993","182.3","2021-09-27",,,,
"US1ILCK0149","OAK LAWN 0.5 SSW, IL US","41.708447","-87.753872","182.0","2021-09-26",,,,
"US1ILCK0149","OAK LAWN 0.5 SSW, IL US","41.708447","-87.753872","182.0","2021-09-27",,,,
"USC00115763","MONEE RESERVOIR, IL US","41.39355","-87.76438","225.6","2021-09-26",,,,
"USC00115763","MONEE RESERVOIR, IL US","41.39355","-87.76438","225.6","2021-09-27",,,,
"USC00116616","PARK FOREST, IL US","41.4947","-87.6802","216.4","2021-09-26",,"70","49","54"
"USC00116616","PARK FOREST, IL US","41.4947","-87.6802","216.4","2021-09-27",,"82","53","63"
"US1ILWL0042","MOKENA 1.3 W, IL US","41.53134","-87.901152","217.9","2021-09-26",,,,
"US1ILWL0042","MOKENA 1.3 W, IL US","41.53134","-87.901152","217.9","2021-09-27",,,,
"USC00115097","LISLE MORTON ARBORETUM, IL US","41.8127","-88.0727","207.3","2021-09-26",,"70","48","51"
"USC00115097","LISLE MORTON ARBORETUM, IL US","41.8127","-88.0727","207.3","2021-09-27",,"83","51","64"
"US1ILWL0166","NAPERVILLE 3.6 SE, IL US","41.723127","-88.108765","223.7","2021-09-26",,,,
"US1ILWL0166","NAPERVILLE 3.6 SE, IL US","41.723127","-88.108765","223.7","2021-09-27",,,,
"US1ILWL0165","FRANKFORT 1.3 ESE, IL US","41.49251","-87.81099","215.2","2021-09-26",,,,
"US1ILWL0165","FRANKFORT 1.3 ESE, IL US","41.49251","-87.81099","215.2","2021-09-27",,,,
"US1ILCK0278","HOFFMAN ESTATES 1.6 SE, IL US","42.048122","-88.116188","242.0","2021-09-26",,,,
"US1ILCK0278","HOFFMAN ESTATES 1.6 SE, IL US","42.048122","-88.116188","242.0","2021-09-27",,,,
"US1ILCK0152","CHICAGO RIDGE 0.2 WSW, IL US","41.701767","-87.781987","181.7","2021-09-26",,,,
"US1ILDP0141","GLEN ELLYN 1.1 WSW, IL US","41.8633883","-88.082855","213.4","2021-09-26",,,,
"US1ILDP0141","GLEN ELLYN 1.1 WSW, IL US","41.8633883","-88.082855","213.4","2021-09-27",,,,
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2021-09-26",,"82","58","70"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2021-09-27",,"85","63","64"
"US1ILCK0139","OAK LAWN 1.1 N, IL US","41.730399","-87.75615","191.1","2021-09-26",,,,
"US1ILCK0139","OAK LAWN 1.1 N, IL US","41.730399","-87.75615","191.1","2021-09-27",,,,
"US1ILCK0145","OAK PARK 1.5 S, IL US","41.865916","-87.79277","189.3","2021-09-26",,,,
"US1ILCK0145","OAK PARK 1.5 S, IL US","41.865916","-87.79277","189.3","2021-09-27",,,,
"US1INLK0046","ST. JOHN 0.2 WSW, IN US","41.446265","-87.480174","213.4","2021-09-26",,,,
"US1INLK0046","ST. JOHN 0.2 WSW, IN US","41.446265","-87.480174","213.4","2021-09-27",,,,
"US1ILCK0260","MIDLOTHIAN 1.2 SE, IL US","41.613021","-87.709663","187.5","2021-09-26",,,,
"US1ILCK0260","MIDLOTHIAN 1.2 SE, IL US","41.613021","-87.709663","187.5","2021-09-27",,,,
"US1ILDP0132","WHEATON 2.0 NNE, IL US","41.8798","-88.0863","241.4","2021-09-26",,,,
"US1ILDP0132","WHEATON 2.0 NNE, IL US","41.8798","-88.0863","241.4","2021-09-27",,,,
"US1ILWL0058","PLAINFIELD 3.0 ESE, IL US","41.603998","-88.149027","189.3","2021-09-26",,,,
"US1ILWL0058","PLAINFIELD 3.0 ESE, IL US","41.603998","-88.149027","189.3","2021-09-27",,,,
"US1ILDP0032","LISLE 1.3 SE, IL US","41.78143","-88.06739","224.9","2021-09-26",,,,
"US1ILDP0032","LISLE 1.3 SE, IL US","41.78143","-88.06739","224.9","2021-09-27",,,,
"US1INLK0091","MUNSTER 1.5 NNW, IN US","41.56798","-87.51072","182.0","2021-09-27",,,,
"US1ILDP0030","LISLE 0.5 WSW, IL US","41.790008","-88.097945","224.0","2021-09-26",,,,
"US1ILDP0030","LISLE 0.5 WSW, IL US","41.790008","-88.097945","224.0","2021-09-27",,,,
"US1ILDP0150","BLOOMINGDALE 1.2 ESE, IL US","41.93972","-88.06657","221.0","2021-09-26",,,,
"US1ILDP0150","BLOOMINGDALE 1.2 ESE, IL US","41.93972","-88.06657","221.0","2021-09-27",,,,
"US1ILCK0323","CHICAGO 6.8 NW, IL US","41.9625","-87.70425","181.7","2021-09-26",,,,
"US1ILCK0323","CHICAGO 6.8 NW, IL US","41.9625","-87.70425","181.7","2021-09-27",,,,
"US1ILCK0325","MOUNT PROSPECT 1.3 SSE, IL US","42.050058","-87.923903","199.0","2021-09-26",,,,
"US1ILCK0325","MOUNT PROSPECT 1.3 SSE, IL US","42.050058","-87.923903","199.0","2021-09-27",,,,
"US1ILCK0326","MORTON GROVE 1.2 WNW, IL US","42.0511","-87.8097","200.3","2021-09-26",,,,
"US1ILCK0326","MORTON GROVE 1.2 WNW, IL US","42.0511","-87.8097","200.3","2021-09-27",,,,
"US1ILLK0103","BUFFALO GROVE 1.3 ESE, IL US","42.161133","-87.939419","201.5","2021-09-26",,,,
