loc,lat,lon,926max,926min,926mean,927max,927min,927mean
Museum Park East - South Loop,41.87,-87.62,85.3,58.3,71,93.2,65.5,72.8
Chicago Midway Airport,41.8,-87.75,84.5,56.2,70.1,89,64,72.5
Chicago O'Hare Airport,41.98,-87.91,82,54,69,86,63,70.85
Belmont Gardens,41.94,-87.73,86.2,56.8,71.1,91.8,64.6,73.1
Budlong woods,41.98,-87.7,83.5,54,70.2,86.5,63.9,70.9
East Side of Chicago,41.69,-87.53,84.7,57.2,70.3,88.3,64.6,72.9
Norwood Park,41.98,-87.79,81,57.9,69.6,84.4,66.6,72.4
The Gakvincenzo Weather Station,41.92,-87.64,85.6,57,71,89.8,64.2,72.3
Rogers Ave,42.02,-87.67,79.7,57.6,68.9,80.6,65.5,70.6
Sheridan Park,41.97,-87.66,83.3,56.8,67.7,87.3,64.6,71.2
Ukrainian Village,41.9,-87.69,86.6,57.8,71.9,90.1,66,73.6
Woodlawn,41.78,-87.59,84.6,56.8,70.6,89.4,64.6,73.1
East Side of Chicago,41.69,-87.53,84.7,57.2,70.3,88.3,64.4,72.9
Morgan Park,41.69,-87.69,84.2,56.3,69.3,88.6,64.2,73
Albany Park,41.97,-87.72,85.3,55.9,70.4,89.4,63.9,71.7
Andersonvile,41.98,-87.67,84.9,55.9,70.3,88.7,64,71.7
East Lakeview,41.95,-87.65,82,58,70.5,85,66,71.6
Gladstone Park,41.98,-87.77,84.9,55.4,70.2,87.9,63.8,71.9
Irving Park,41.95,-87.72,84.7,55.7,70.6,86.7,64.7,71.9
Jefferson Park,41.97,-87.77,77.7,69.8,73.3,90.7,63.3,72.2
Lake View,41.94,-87.68,82,57.4,72.5,81.3,66.4,71.4
Margate Park,41.97,-87.65,83.2,56.9,70.1,88,63.2,70.5
Mulford Manor Estate,42.02,-87.76,82.2,55.4,69.4,85.4,63.8,71.1
North Center,41.95,-87.68,83.7,56.5,70.1,87.1,64.2,71.2
North Mayfair,41.97,87.74,85.5,55.6,70.2,89.2,63.7,71.9
Norwood Park East,42,-87.78,86.4,54.3,70.3,90.5,63.7,71.8
Old Irving Park,41.95,-87.74,85.1,55.2,69.6,90.7,64.2,71.8
Park West,41.93,-87.65,85.8,56.3,71.2,91,64.7,72.7
Portage Park,41.95,-87.77,84.6,54.7,69.8,88.5,63.5,71.8
Rogers Park,42,-87.67,83.5,56.3,70.8,88.5,64,71.4
Ravenswood,41.96,-87.68,85.1,55.2,70.3,88.5,63.7,71.7
West De Paul,41.93,-87.67,83.1,57.6,67.5,87.1,64.6,71.8
West Ridge,41.99,-87.69,85.6,55,70,90.3,63.9,71
AB9FX,41.97,-87.85,82.8,55.1,69.2,86.7,64.4,71.1
Belmont Height,41.94,-87.82,85.6,54.7,69.1,93.9,63.7,72.2
Belmont Terrace,41.94,-87.83,83.3,55.5,69.6,87.4,64,71.6
Big Oaks,41.97,-87.8,83.3,55.2,69.4,86.2,63.5,71.1
Edison Park,42.01,-87.82,84.6,55,72.7,89.4,63.1,69.8
Norwood Park West,41.99,-87.81,82,55.8,71,80.6,66.4,70
Glen Eden Estate,41.98,-87.83,84.3,54.6,69.6,88.5,63.2,71.3
Bucktown,41.91,-87.67,84.4,56.8,70.8,91,64.8,72.5
Chicago Loop,41.88,-87.63,79,57,68.2,81,63.1,69.4
Lincoln Park,41.91,-87.65,83.5,57.6,70.8,87.8,64.4,71.7
Logan Square,41.91,-87.7,84.6,56.1,70.2,91.4,64.6,72.3
Old Town Triangle,41.92,-87.64,85.6,57,71,89.8,64.2,72.3
Pilsen,41.86,-87.66,83.2,57.2,70.4,88.7,64.8,72.6
United Center,41.88,-87.68,86.2,55.9,70.9,90.3,64.8,73
University Village,41.87,-87.66,83.8,56.6,70.3,89.2,64.5,72.2
West Loop,41.88,-87.66,88.5,55.9,71.6,95.4,64.6,73.7
West Town,41.89,-87.66,83.3,57.7,70.8,87.1,65.3,72.1
Garfield Ridge,41.8,-87.77,87.3,56.1,70.4,90.1,64.8,73.2
